Taxon	ORDER	so	Family	Br_Length
Fulmarus_glacialoides PROCELLARIIFORMES npass Procellariidae 0.069818
Oceanites_oceanicus PROCELLARIIFORMES npass Oceanitidae 28.670198
Pelagodroma_marina PROCELLARIIFORMES npass Oceanitidae 5.972866
Aptenodytes_forsteri SPHENISCIFORMES npass Spheniscidae 10.787291
Aptenodytes_patagonicus SPHENISCIFORMES npass Spheniscidae 16.212709
Eudyptula_minor SPHENISCIFORMES npass Spheniscidae 17.619893
Spheniscus_humboldti SPHENISCIFORMES npass Spheniscidae 8.009078
Pygoscelis_adeliae SPHENISCIFORMES npass Spheniscidae 0.507088
Gavia_immer GAVIIFORMES npass Gaviidae 23.478988
Gavia_stellata GAVIIFORMES npass Gaviidae 5.109423
Rhynochetos_jubatus EURYPYGIFORMES npass Rhynochetidae 34.524515
Eurypyga_helias EURYPYGIFORMES npass Eurypygidae 32.581947
Phaethon_lepturus PHAETHONTIFORMES npass Phaethontidae 2.500002
Phaethon_rubricauda PHAETHONTIFORMES npass Phaethontidae 0.432784
Uria_aalge CHARADRIIFORMES npass Alcidae 41.713639
Chroicocephalus_cirrocephalus CHARADRIIFORMES npass Laridae 6.234752
Larus_marinus CHARADRIIFORMES npass Laridae 27.275737
Rynchops_niger CHARADRIIFORMES npass Laridae 30.305313
Sterna_hirundo CHARADRIIFORMES npass Laridae 5.870409
Dromas_ardeola CHARADRIIFORMES npass Dromadidae 47.474487
Glareola_cinerea CHARADRIIFORMES npass Glareolidae 8.646731
Turnix_sylvaticus CHARADRIIFORMES npass Turnicidae 3.082304
Jacana_jacana CHARADRIIFORMES npass Jacanidae 37.654760
Rostratula_benghalensis CHARADRIIFORMES npass Rostratulidae 3.367873
Pedionomus_torquatus CHARADRIIFORMES npass Pedionomidae 31.835784
Thinocorus_orbignyianus CHARADRIIFORMES npass Thinocoridae 7.611480
Arenaria_interpres CHARADRIIFORMES npass Scolopacidae 36.067147
Tringa_solitaria CHARADRIIFORMES npass Scolopacidae 7.419173
Limosa_lapponica CHARADRIIFORMES npass Scolopacidae 4.654659
Burhinus_oedicnemus CHARADRIIFORMES npass Burhinidae 61.624589
Charadrius_vociferus CHARADRIIFORMES npass Charadriidae 38.471876
Phegornis_mitchellii CHARADRIIFORMES npass Charadriidae 12.842997
Haematopus_ater CHARADRIIFORMES npass Haematopodidae 44.944761
Recurvirostra_americana CHARADRIIFORMES npass Recurvirostridae 5.261435
Aramus_guarauna GRUIFORMES npass Aramidae 41.646649
Antigone_canadensis GRUIFORMES npass Gruidae 28.376255
Balearica_regulorum GRUIFORMES npass Gruidae 19.643827
Psophia_crepitans GRUIFORMES npass Psophiidae 5.209523
Heliornis_fulica GRUIFORMES npass Heliornithidae 46.596889
Sarothrura_rufa GRUIFORMES npass Sarothruridae 20.536273
Sarothrura_elegans GRUIFORMES npass Sarothruridae 3.741896
Himantornis_haematopus GRUIFORMES npass Rallidae 32.922053
Rallus_limicola GRUIFORMES npass Rallidae 15.246200
Rallus_longirostris GRUIFORMES npass Rallidae 0.048214
Porphyrio_porphyrio GRUIFORMES npass Rallidae 0.374134
Opisthocomus_hoazin OPISTHOCOMIFORMES npass Opisthocomidae 0.610537
Aegotheles_cristatus APODIFORMES npass Aegothelidae 21.983901
Aegotheles_insignis APODIFORMES npass Aegothelidae 44.273937
Aerodramus_vanikorensis APODIFORMES npass Apodidae 26.738297
Chaetura_pelagica APODIFORMES npass Apodidae 15.776760
Streptoprocne_zonaris APODIFORMES npass Apodidae 8.484943
Hemiprocne_comata APODIFORMES npass Hemiprocnidae 36.622075
