1	ORDER	FAMILY	TAXON	AUTHORITY	YEAR	REFERENCE	URL		
11236	PSITTACIFORMES	Psittacidae	Brotogeris	Vigors	1825				
11237	PSITTACIFORMES	Psittacidae	Brotogeris sanctithomae	"(Müller, PLS)"	1776	Natursyst. Suppl. 9: 81	https://biodiversitylibrary.org/page/52710034		
11238	PSITTACIFORMES	Psittacidae	Brotogeris sanctithomae sanctithomae	"(Müller, PLS)"	1776	Natursyst. Suppl. 9: 81	https://biodiversitylibrary.org/page/52710034		
11239	PSITTACIFORMES	Psittacidae	Brotogeris sanctithomae takatsukasae	Neumann	1931	Mitt. Zool. Mus. Berlin 17 Heft 3: 442			
11240	PSITTACIFORMES	Psittacidae	Brotogeris tirica	"(Gmelin, JF)"	1788	Syst. Nat. (ed. 12) 1: 351	https://biodiversitylibrary.org/page/2896951		
11241	PSITTACIFORMES	Psittacidae	Brotogeris versicolurus	"(Müller, PLS)"	1776	Natursyst. Suppl. 9: 75	https://biodiversitylibrary.org/page/52710028		
11242	PSITTACIFORMES	Psittacidae	Brotogeris chiriri	(Vieillot)	1818	Nouv. Dict. d'Hist. Nat. 25: 359	https://biodiversitylibrary.org/page/18044127		
11243	PSITTACIFORMES	Psittacidae	Brotogeris chiriri chiriri	(Vieillot)	1818	Nouv. Dict. d'Hist. Nat. 25: 359	https://biodiversitylibrary.org/page/18044127		
11244	PSITTACIFORMES	Psittacidae	Brotogeris chiriri behni	Neumann	1931	Mitt. Zool. Mus. Berlin 17 Heft 3: 443			
11245	PSITTACIFORMES	Psittacidae	Brotogeris pyrrhoptera	(Latham)	1801	Suppl. ind. orn.: xxii	https://biodiversitylibrary.org/page/33261396		
11246	PSITTACIFORMES	Psittacidae	Brotogeris jugularis	"(Müller, PLS)"	1776	Natursyst. Suppl. 9: 80	https://biodiversitylibrary.org/page/52710033		
11247	PSITTACIFORMES	Psittacidae	Brotogeris jugularis jugularis	"(Müller, PLS)"	1776	Natursyst. Suppl. 9: 80	https://biodiversitylibrary.org/page/52710033		
11248	PSITTACIFORMES	Psittacidae	Brotogeris jugularis exsul	Todd	1917	Proc. Biol. Soc. Wash. 30: 129	https://biodiversitylibrary.org/page/3335015		
11249	PSITTACIFORMES	Psittacidae	Brotogeris cyanoptera	(Pelzeln)	1870	Orn. Brasil. Abth. 3: 260			
11250	PSITTACIFORMES	Psittacidae	Brotogeris cyanoptera cyanoptera	(Pelzeln)	1870	Orn. Brasil. Abth. 3: 260			
11251	PSITTACIFORMES	Psittacidae	Brotogeris cyanoptera gustavi	Berlepsch	1889	Ibis (Ser. 6) 1:181 pl. 6	https://biodiversitylibrary.org/page/16280561		
11252	PSITTACIFORMES	Psittacidae	Brotogeris cyanoptera beniensis	Gyldenstolpe	1941	Ark. Zool. 33A (12): 9			
11253	PSITTACIFORMES	Psittacidae	Brotogeris chrysoptera	(Linnaeus)	1766	Syst. Nat. (ed. 12) 1: 149	https://biodiversitylibrary.org/page/445274		
11254	PSITTACIFORMES	Psittacidae	Brotogeris chrysoptera chrysoptera	(Linnaeus)	1766	Syst. Nat. (ed. 12) 1: 149	https://biodiversitylibrary.org/page/445274		
11255	PSITTACIFORMES	Psittacidae	Brotogeris chrysoptera tuipara	"(Gmelin, JF)"	1788	Syst. Nat. (ed. 12) 1: 3548	https://biodiversitylibrary.org/page/2896948		
11256	PSITTACIFORMES	Psittacidae	Brotogeris chrysoptera chrysosema	"Sclater, PL"	1864	Proc. Zool. Soc. London (1864): 298	https://biodiversitylibrary.org/page/28500611		
11257	PSITTACIFORMES	Psittacidae	Brotogeris chrysoptera solimoensis	Gyldenstolpe	1941	Ark. Zool. 33A (12): 10			
11258	PSITTACIFORMES	Psittacidae	Brotogeris chrysoptera tenuifrons	Friedmann	1945	Proc. Biol. Soc. Wash. 58: 114	https://biodiversitylibrary.org/page/34566074		
11259	PSITTACIFORMES	Psittacidae	Pionopsitta	Bonaparte	1854				
11260	PSITTACIFORMES	Psittacidae	Pionopsitta pileata	(Scopoli)	1769	Annus I. Hist.-Nat. p.32	https://www.biodiversitylibrary.org/page/31117659		
11261	PSITTACIFORMES	Psittacidae	Triclaria	Wagler	1832				
11262	PSITTACIFORMES	Psittacidae	Triclaria malachitacea	(Spix)	1824	Av. Sp. Nov. Brasil. 1: 40 pl. 28	https://biodiversitylibrary.org/page/41277635		
11263	PSITTACIFORMES	Psittacidae	Pyrilia	Bonaparte	1856				
11264	PSITTACIFORMES	Psittacidae	Pyrilia haematotis	"(Sclater, PL & Salvin)"	1860	"Proc. Zool. Soc. London, pt 28: 300"	https://biodiversitylibrary.org/page/12866852		
11265	PSITTACIFORMES	Psittacidae	Pyrilia haematotis haematotis	"(Sclater, PL & Salvin)"	1860	"Proc. Zool. Soc. London, pt 28: 300"	https://biodiversitylibrary.org/page/12866852		
