1	ORDER	FAMILY	TAXON	AUTHORITY	YEAR	REFERENCE	URL
9583	PICIFORMES	Bucconidae	Monasa morphoeus	(Hahn & Küster)	1823	"Voeg. Asien Afrika Amerika Neuholland Lief. 14 pl. 2, text"	https://www.biodiversitylibrary.org/page/47925871
9584	PICIFORMES	Bucconidae	Monasa morphoeus morphoeus	(Hahn & Küster)	1823	"Voeg. Asien Afrika Amerika Neuholland Lief. 14 pl. 2, text"	https://www.biodiversitylibrary.org/page/47925871
9585	PICIFORMES	Bucconidae	Monasa morphoeus peruana	"Sclater, PL"	1856	Proc. Zool. Soc. London pt 23: 194	https://biodiversitylibrary.org/page/30748093
9586	PICIFORMES	Bucconidae	Monasa morphoeus pallescens	Cassin	1860	Proc. Acad. Nat. Sci. Philadelphia 12: 134	https://biodiversitylibrary.org/page/1801219
9587	PICIFORMES	Bucconidae	Monasa morphoeus grandior	"Sclater, PL & Salvin"	1868	Proc. Zool. Soc. London (1868): 327	https://biodiversitylibrary.org/page/28664862
9588	PICIFORMES	Bucconidae	Monasa morphoeus fidelis	Nelson	1912	Smiths. Misc. Coll. 56 (37): 1	https://biodiversitylibrary.org/page/8813701
9589	PICIFORMES	Bucconidae	Monasa morphoeus sclateri	Ridgway	1912	Proc. Biol. Soc. Wash. 25: 89	https://biodiversitylibrary.org/page/3337470
9590	PICIFORMES	Bucconidae	Monasa morphoeus rikeri	Ridgway	1912	Proc. Biol. Soc. Wash. 25: 88	https://biodiversitylibrary.org/page/3337651
9591	PICIFORMES	Bucconidae	Monasa flavirostris	Strickland	1850	Contrib. Orn. 3: 47 pl. 48	https://biodiversitylibrary.org/page/51978804
9592	PICIFORMES	Bucconidae	Chelidoptera	Gould	1837		
9593	PICIFORMES	Bucconidae	Chelidoptera tenebrosa	(Pallas)	1782	Neue Nordische Beytrage 3: 2 pl. 1 fig. 1	https://biodiversitylibrary.org/page/32964478
9594	PICIFORMES	Bucconidae	Chelidoptera tenebrosa tenebrosa	(Pallas)	1782	Neue Nordische Beytrage 3: 2 pl. 1 fig. 1	https://biodiversitylibrary.org/page/32964478
9595	PICIFORMES	Bucconidae	Chelidoptera tenebrosa brasiliensis	"Sclater, PL"	1862	Cat. Coll. Am. Birds: 275	https://biodiversitylibrary.org/page/13302713
9596	PICIFORMES	Bucconidae	Chelidoptera tenebrosa pallida	Cory	1913	Field Mus. Nat. Hist. Pub. Orn. Ser. 1: 288	https://biodiversitylibrary.org/page/2643278
9597	PICIFORMES	Capitonidae	Capito	Vieillot	1816		
9598	PICIFORMES	Capitonidae	Capito aurovirens	(Cuvier)	1829	"Regne Anim. nouv. ed. 1: 458, note"	https://biodiversitylibrary.org/page/33374300
9599	PICIFORMES	Capitonidae	Capito wallacei	"O'Neill, Lane, Kratter, Capparella & Fox"	2000	Auk 117: 569	https://sora.unm.edu/sites/default/files/journals/auk/v117n03/p00569-p00577.pdf
9600	PICIFORMES	Capitonidae	Capito fitzpatricki	"Seeholzer, Winger, Harvey, Cáceres & Weckstein"	2012	Auk 129: 551	https://academic.oup.com/auk/article/129/3/551/5148736
9601	PICIFORMES	Capitonidae	Capito maculicoronatus	Lawrence	1861	Ann. Lyc. Nat. Hist. N. Y. 7: 300	https://biodiversitylibrary.org/page/16227757
9602	PICIFORMES	Capitonidae	Capito maculicoronatus maculicoronatus	Lawrence	1861	Ann. Lyc. Nat. Hist. N. Y. 7: 300	https://biodiversitylibrary.org/page/16227757
9603	PICIFORMES	Capitonidae	Capito maculicoronatus rubrilateralis	Chapman	1912	Bull. Am. Mus. Nat. Hist. 31: 144	http://hdl.handle.net/2246/1749
9604	PICIFORMES	Capitonidae	Capito squamatus	Salvin	1876	Ibis (Ser. 3) 6: 494 pl. 14	https://biodiversitylibrary.org/page/8607662
9605	PICIFORMES	Capitonidae	Capito hypoleucus	Salvin	1897	Bull. B.O.C. 7: 16	https://biodiversitylibrary.org/page/32475570
9606	PICIFORMES	Capitonidae	Capito hypoleucus hypoleucus	Salvin	1897	Bull. B.O.C. 7: 16	https://biodiversitylibrary.org/page/32475570
9607	PICIFORMES	Capitonidae	Capito hypoleucus carrikeri	"Graves, GR"	1986	Proc. Biol. Soc. Wash. 99: 62	https://biodiversitylibrary.org/page/34595523
9608	PICIFORMES	Capitonidae	Capito hypoleucus extinctus	"Graves, GR"	1986	Proc. Biol. Soc. Wash. 99: 62	https://biodiversitylibrary.org/page/34595523
9609	PICIFORMES	Capitonidae	Capito dayi	Cherrie	1916	Bull. Am. Mus. Nat. Hist. 35: 394	http://hdl.handle.net/2246/1385
9610	PICIFORMES	Capitonidae	Capito brunneipectus	Chapman	1921	Am. Mus. Novit. 2: 1	http://hdl.handle.net/2246/4603
9611	PICIFORMES	Capitonidae	Capito niger	"(Müller, PLS)"	1776	Natursyst. Suppl. 9: 89	https://biodiversitylibrary.org/page/52710042
9612	PICIFORMES	Capitonidae	Capito auratus	(Dumont)	1805	Dict. Sci. Nat. 4: 54	https://biodiversitylibrary.org/page/19540686
9613	PICIFORMES	Capitonidae	Capito auratus auratus	(Dumont)	1805	Dict. Sci. Nat. 4: 54	https://biodiversitylibrary.org/page/19540686
9614	PICIFORMES	Capitonidae	Capito auratus punctatus	"(Lesson, R)"	1830	Traite d'Orn. livr. 3: 165	https://biodiversitylibrary.org/page/35997149
9615	PICIFORMES	Capitonidae	Capito auratus amazonicus	Deville & Des Murs	1849	"Rev. Mag. Zool. (Ser. 2) 1: 161, 171"	https://biodiversitylibrary.org/page/2343404
9616	PICIFORMES	Capitonidae	Capito auratus aurantiicinctus	Dalmas	1900	Bull. Soc. Zool. France 25: 177	https://biodiversitylibrary.org/page/3119045
9617	PICIFORMES	Capitonidae	Capito auratus insperatus	Cherrie	1916	Bull. Am. Mus. Nat. Hist. 35: 391	http://hdl.handle.net/2246/1385
9618	PICIFORMES	Capitonidae	Capito auratus orosae	Chapman	1928	"Am. Mus. Novit. 335: 3, 8"	http://hdl.handle.net/2246/4003
9619	PICIFORMES	Capitonidae	Capito auratus nitidior	Chapman	1928	"Am. Mus. Novit. 335: 3, 6"	http://hdl.handle.net/2246/4003
9620	PICIFORMES	Capitonidae	Capito auratus hypochondriacus	Chapman	1928	"Am. Mus. Novit. 335: 3, 15"	http://hdl.handle.net/2246/4003
9621	PICIFORMES	Capitonidae	Capito quinticolor	"Elliot, DG"	1865	Nouv. Arch. Mus. d'Hist. Nat. Bull. 1 fasc. 4: 76 pl. 4 fig. 1	https://biodiversitylibrary.org/page/13961344
