1	ORDER	FAMILY	TAXON	AUTHORITY	YEAR	REFERENCE	URL										
7895	STRIGIFORMES	Strigidae	Ninox affinis	Beavan	1867	Ibis (Ser. 2)  3: 316	https://biodiversitylibrary.org/page/8455600										
7896	STRIGIFORMES	Strigidae	Ninox philippensis	Bonaparte	1855	Compt. Rend. 41: 655	https://biodiversitylibrary.org/page/13834769										
7897	STRIGIFORMES	Strigidae	Ninox philippensis philippensis	Bonaparte	1855	Compt. Rend. 41: 655	https://biodiversitylibrary.org/page/13834769										
7898	STRIGIFORMES	Strigidae	Ninox philippensis ticaoensis	duPont	1972	Nemouria no. 6: 6	https://biodiversitylibrary.org/page/45972498										
7899	STRIGIFORMES	Strigidae	Ninox philippensis centralis	Mayr	1945	Zoologica 30: 108	https://biodiversitylibrary.org/page/52279556										
7900	STRIGIFORMES	Strigidae	Ninox spilocephala	Tweeddale	1879	Proc. Zool. Soc. London (1878): 939	https://biodiversitylibrary.org/page/28519657										
7901	STRIGIFORMES	Strigidae	Ninox leventisi	"Rasmussen, Allen, D, Collar, Hutchinson, Jakosalem, Kennedy, RS, Lambert & Paguntalan"	2012	Forktail 28: 15	https://orientalbirdclub.org/wp-content/uploads/2015/10/Philippine-owls.pdf										
7902	STRIGIFORMES	Strigidae	Ninox reyi	Oustalet	1880	Bull. Hebdo. Assoc. Sci. France (Ser. 2) 2: 206											
7903	STRIGIFORMES	Strigidae	Ninox rumseyi	"Rasmussen, Allen, D, Collar, Hutchinson, Jakosalem, Kennedy, RS, Lambert & Paguntalan"	2012	Forktail 28: 16	https://orientalbirdclub.org/wp-content/uploads/2015/10/Philippine-owls.pdf										
7904	STRIGIFORMES	Strigidae	Ninox spilonotus	Bourns & Worcester	1894	Occ. Pap. Minnesota Acad. Nat. Sci. 1: 8	https://biodiversitylibrary.org/page/21241616										
7905	STRIGIFORMES	Strigidae	Ninox spilonotus spilonotus	Bourns & Worcester	1894	Occ. Pap. Minnesota Acad. Nat. Sci. 1: 8	https://biodiversitylibrary.org/page/21241616										
7906	STRIGIFORMES	Strigidae	Ninox spilonotus fisheri	"Rasmussen, Allen, D, Collar, Hutchinson, Jakosalem, Kennedy, RS, Lambert & Paguntalan"	2012	Forktail 28: 15	https://orientalbirdclub.org/wp-content/uploads/2015/10/Philippine-owls.pdf										
