Taxon ORDER Family TBrLenx1000
_Arachnothera_everetti PASSERIFORMES oscines_Nectariniidae 0.0022507
_Arachnothera_flavigaster PASSERIFORMES oscines_Nectariniidae 0.0020858
_Hypogramma_hypogrammicum PASSERIFORMES oscines_Nectariniidae 2.31388
_Dicaeum_hypoleucum PASSERIFORMES oscines_Dicaeidae 0.0022396
_Picathartes_gymnocephalus PASSERIFORMES oscines_Picathartidae 0.0020128
_Vanga_curvirostris PASSERIFORMES oscines_Vangidae 0.0022715
_Newtonia_amphichroa PASSERIFORMES oscines_Vangidae 0.0020128
_Newtonia_brunneicauda PASSERIFORMES oscines_Vangidae 0.0020128
_Newtonia_archboldi PASSERIFORMES oscines_Vangidae 0.0021009
_Lophorina_superba PASSERIFORMES oscines_Paradisaeidae 0.002689
_Corvus_albus PASSERIFORMES oscines_Corvidae 0.0026201
_Corvus_brachyrhynchos PASSERIFORMES oscines_Corvidae 0.0020128
_Corvus_corone PASSERIFORMES oscines_Corvidae 0.002783
_Nucifraga_columbiana PASSERIFORMES oscines_Corvidae 0.0027268
_Aphelocoma_ultramarina PASSERIFORMES oscines_Corvidae 0.0026324
_Aphelocoma_wollweberi PASSERIFORMES oscines_Corvidae 0.0020792
_Aphelocoma_californica PASSERIFORMES oscines_Corvidae 0.0029859
_Malurus_splendens PASSERIFORMES oscines_Maluridae 0.0020128
_Malurus_melanocephalus PASSERIFORMES oscines_Maluridae 0.0020128
_Sericulus_bakeri PASSERIFORMES oscines_Ptilonorhynchidae 0.0020128
_Ptilonorhynchus_violaceus PASSERIFORMES oscines_Ptilonorhynchidae 0.0020128
_Climacteris_erythrops PASSERIFORMES oscines_Climacteridae 0.0020128
_Climacteris_melanurus PASSERIFORMES oscines_Climacteridae 0.0020128
_Menura_novaehollandiae PASSERIFORMES oscines_Menuridae 0.0023417
_Acanthisitta_chloris PASSERIFORMES Acanthisittidae 0.0026659
_Platycercus_elegans PSITTACIFORMES Psittaculidae 0.0023693
_Barnardius_zonarius PSITTACIFORMES Psittaculidae 0.0022806
_Oreopsittacus_arfaki PSITTACIFORMES Psittaculidae 0.0029689
_Neopsittacus_musschenbroekii PSITTACIFORMES Psittaculidae 0.585296
_Neopsittacus_pullicauda PSITTACIFORMES Psittaculidae 0.0020665
_Glossopsitta_concinna PSITTACIFORMES Psittaculidae 0.0020415
_Trichoglossus_ornatus PSITTACIFORMES Psittaculidae 0.002019
_Trichoglossus_flavoviridis PSITTACIFORMES Psittaculidae 0.0020128
_Psitteuteles_iris PSITTACIFORMES Psittaculidae 2.38182
_Trichoglossus_johnstoniae PSITTACIFORMES Psittaculidae 0.564367
_Eos_bornea PSITTACIFORMES Psittaculidae 0.644662
_Eos_semilarvata PSITTACIFORMES Psittaculidae 0.905319
_Eos_squamata PSITTACIFORMES Psittaculidae 0.703431
_Eos_histrio PSITTACIFORMES Psittaculidae 0.904581
_Eos_cyanogenia PSITTACIFORMES Psittaculidae 0.0022247
_Eos_reticulata PSITTACIFORMES Psittaculidae 0.878813
_Trichoglossus_haematodus PSITTACIFORMES Psittaculidae 0.0027699
_Trichoglossus_rosenbergii PSITTACIFORMES Psittaculidae 0.0024577
_Trichoglossus_euteles PSITTACIFORMES Psittaculidae 0.55388
_Trichoglossus_weberi PSITTACIFORMES Psittaculidae 0.0029424
_Trichoglossus_capistratus PSITTACIFORMES Psittaculidae 0.0020128
_Trichoglossus_forsteni PSITTACIFORMES Psittaculidae 0.0020128
_Trichoglossus_rubritorquis PSITTACIFORMES Psittaculidae 0.0020435
_Trichoglossus_moluccanus PSITTACIFORMES Psittaculidae 0.0020426
_Trichoglossus_chlorolepidotus PSITTACIFORMES Psittaculidae 0.0027131
_Trichoglossus_rubiginosus PSITTACIFORMES Psittaculidae 1.7886
_Psitteuteles_goldiei PSITTACIFORMES Psittaculidae 0.604936
_Pseudeos_fuscata PSITTACIFORMES Psittaculidae 1.1732
_Pseudeos_cardinalis PSITTACIFORMES Psittaculidae 0.0023027
_Chalcopsitta_scintillata PSITTACIFORMES Psittaculidae 0.0020879
_Chalcopsitta_atra PSITTACIFORMES Psittaculidae 0.587058
_Chalcopsitta_duivenbodei PSITTACIFORMES Psittaculidae 0.0020244
_Parvipsitta_porphyrocephala PSITTACIFORMES Psittaculidae 0.0027471
_Parvipsitta_pusilla PSITTACIFORMES Psittaculidae 0.0020535
_Psitteuteles_versicolor PSITTACIFORMES Psittaculidae 0.0026198
_Lorius_lory PSITTACIFORMES Psittaculidae 0.0020128
_Lorius_hypoinochrous PSITTACIFORMES Psittaculidae 0.0020128
_Lorius_garrulus PSITTACIFORMES Psittaculidae 0.0020128
_Lorius_domicella PSITTACIFORMES Psittaculidae 0.0029519
_Lorius_albidinucha PSITTACIFORMES Psittaculidae 0.0028488
_Lorius_chlorocercus PSITTACIFORMES Psittaculidae 0.0020128
_Charmosyna_pulchella PSITTACIFORMES Psittaculidae 2.10453
_Charmosyna_toxopei PSITTACIFORMES Psittaculidae 0.0024089
_Vini_australis PSITTACIFORMES Psittaculidae 0.0020612
_Vini_peruviana PSITTACIFORMES Psittaculidae 0.0026775
_Vini_kuhlii PSITTACIFORMES Psittaculidae 0.0026724
_Vini_stepheni PSITTACIFORMES Psittaculidae 0.0028861
_Vini_ultramarina PSITTACIFORMES Psittaculidae 0.0020806
_Phigys_solitarius PSITTACIFORMES Psittaculidae 0.0020128
_Charmosyna_amabilis PSITTACIFORMES Psittaculidae 0.0023326
_Charmosyna_palmarum PSITTACIFORMES Psittaculidae 0.0025676
_Charmosyna_meeki PSITTACIFORMES Psittaculidae 2.72274
_Charmosyna_rubrigularis PSITTACIFORMES Psittaculidae 0.0023346
_Charmosyna_margarethae PSITTACIFORMES Psittaculidae 0.0025081
_Charmosyna_papou PSITTACIFORMES Psittaculidae 0.0021717
_Charmosyna_josefinae PSITTACIFORMES Psittaculidae 1.8036
_Charmosyna_multistriata PSITTACIFORMES Psittaculidae 0.002246
_Charmosyna_placentis PSITTACIFORMES Psittaculidae 0.0020128
_Charmosyna_rubronotata PSITTACIFORMES Psittaculidae 0.0022905
