Taxon ORDER Family TermBrLength
Chelidoptera_tenebrosa PICIFORMES Bucconidae 0.0000020735
Malacoptila_fusca PICIFORMES Bucconidae 0.0000025564
Nonnula_ruficapilla PICIFORMES Bucconidae 0.0000022235
Galbula_albirostris PICIFORMES Galbulidae 0.0000021082
Galbula_dea PICIFORMES Galbulidae 0.0000020128
Galbula_leucogastra PICIFORMES Galbulidae 0.0000020128
Galbula_chalcothorax PICIFORMES Galbulidae 0.0000020128
Brachygalba_albogularis PICIFORMES Galbulidae 0.0000021045
Halcyon_senegalensis CORACIIFORMES Alcedinidae 0.0000020128
Pelargopsis_capensis CORACIIFORMES Alcedinidae 0.0000020018
Lacedo_pulchella CORACIIFORMES Alcedinidae 0.0000023024
Todiramphus_tutus CORACIIFORMES Alcedinidae 0.0000020128
Syma_megarhyncha CORACIIFORMES Alcedinidae 0.0000020128
Actenoides_lindsayi CORACIIFORMES Alcedinidae 0.0007393769
Caridonax_fulgidus CORACIIFORMES Alcedinidae 0.0038647285
Dacelo_novaeguineae CORACIIFORMES Alcedinidae 0.0000020190
Dacelo_gaudichaud CORACIIFORMES Alcedinidae 0.0000020128
Clytoceyx_rex CORACIIFORMES Alcedinidae 0.0000027572
Melidora_macrorrhina CORACIIFORMES Alcedinidae 0.0000026284
Tanysiptera_sylvia CORACIIFORMES Alcedinidae 0.0012340090
Megaceryle_alcyon CORACIIFORMES Alcedinidae 0.0000022815
Chloroceryle_inda CORACIIFORMES Alcedinidae 0.0000025342
Chloroceryle_aenea CORACIIFORMES Alcedinidae 0.0000029107
Ceryle_rudis CORACIIFORMES Alcedinidae 0.0000023146
Alcedo_quadribrachys CORACIIFORMES Alcedinidae 0.0000026113
Alcedo_atthis CORACIIFORMES Alcedinidae 0.0000023780
Ceyx_collectoris CORACIIFORMES Alcedinidae 0.0000020157
Corythornis_cristatus CORACIIFORMES Alcedinidae 0.0000020128
Corythornis_leucogaster CORACIIFORMES Alcedinidae 0.0000020190
Ispidina_lecontei CORACIIFORMES Alcedinidae 0.0000025456
Momotus_momota CORACIIFORMES Momotidae 0.0000024327
Hylomanes_momotula CORACIIFORMES Momotidae 0.0000026187
Momotus_lessonii CORACIIFORMES Momotidae 0.0000028795
Todus_angustirostris CORACIIFORMES Todidae 0.0000028943
Todus_mexicanus CORACIIFORMES Todidae 0.0000022621
Coracias_caudatus CORACIIFORMES Coraciidae 0.0000020128
Coracias_abyssinicus CORACIIFORMES Coraciidae 0.0000020128
Coracias_cyanogaster CORACIIFORMES Coraciidae 0.0000028663
Atelornis_pittoides CORACIIFORMES Brachypteraciidae 0.0000020128
Geobiastes_squamiger CORACIIFORMES Brachypteraciidae 0.0000020128
Merops_nubicus CORACIIFORMES Meropidae 0.0000028739
Merops_muelleri CORACIIFORMES Meropidae 0.0000026213
Nyctyornis_amictus CORACIIFORMES Meropidae 0.0000024027
Buceros_rhinoceros BUCEROTIFORMES Bucerotidae 0.0000020128
Lophoceros_camurus BUCEROTIFORMES Bucerotidae 0.0000026658
Bucorvus_leadbeateri BUCEROTIFORMES Bucorvidae 0.0000027941
Bucorvus_abyssinicus BUCEROTIFORMES Bucorvidae 0.0000021679
Upupa_epops BUCEROTIFORMES Upupidae 0.0000027584
Phoeniculus_purpureus BUCEROTIFORMES Phoeniculidae 0.0000023294
Rhinopomastus_cyanomelas BUCEROTIFORMES Phoeniculidae 0.0000021920
Apaloderma_vittatum TROGONIFORMES Trogonidae 0.0000024488
Apaloderma_aequatoriale TROGONIFORMES Trogonidae 0.0000020128
Apaloderma_narina TROGONIFORMES Trogonidae 0.0000020128
Trogon_personatus TROGONIFORMES Trogonidae 0.0000027312
Trogon_elegans TROGONIFORMES Trogonidae 0.0000020128
Pharomachrus_auriceps TROGONIFORMES Trogonidae 0.0000020128
Leptosomus_discolor LEPTOSOMIFORMES Leptosomidae 0.0000026438
Colius_colius COLIIFORMES Coliidae 0.0000020128
Colius_striatus COLIIFORMES Coliidae 0.0000020128
Urocolius_indicus COLIIFORMES Coliidae 0.0000026047
Strix_varia STRIGIFORMES Strigidae 0.0000021902
Strix_occidentalis STRIGIFORMES Strigidae 0.0000025085
Athene_cunicularia STRIGIFORMES Strigidae 0.0000023337
Tyto_alba STRIGIFORMES Tytonidae 0.0000025621
Phodilus_badius STRIGIFORMES Tytonidae 0.0000020128
Aquila_chrysaetos ACCIPITRIFORMES Accipitridae 0.0000024053
Buteo_jamaicensis ACCIPITRIFORMES Accipitridae 0.0000021542
Haliaeetus_albicilla ACCIPITRIFORMES Accipitridae 0.0000020128
Haliaeetus_leucocephalus ACCIPITRIFORMES Accipitridae 0.0000020128
Accipiter_superciliosus ACCIPITRIFORMES Accipitridae 0.0000028553
Elanoides_forficatus ACCIPITRIFORMES Accipitridae 0.0000026779
